target	index	A:N	error	MCC	ACC	BACC	Sensitivity	Specificity	PPV	NPV	F1	AUC A	AUC N
Q9IP65_WT		0:4	Number of points 4 < 30										
P30939_WT		15:4	Not enough data in minority class of the training set for all 5 folds										
P08912_WT	Fold 5	15:32		0.5521177907240944	0.8085106382978723	0.7708333333333333	0.875	0.6666666666666666	0.8484848484848485	0.7142857142857143	0.8615384615384615	0.1645833333333333	0.8354166666666667
P08912_WT	Mean	-		0.6107198862259772	0.8325354609929076	0.7993371212121211	0.8945075757575758	0.7041666666666667	0.8640560011883542	0.7594047619047618	0.8786265325982183	0.12052083333333333	0.8794791666666667
P08912_WT	SD	-		0.14087158446468812	0.06038811182478515	0.07260456458141129	0.03916533563570733	0.11471583248280172	0.051759759218129205	0.08762772774464771	0.04347278723197176	0.04805440741468851	0.04805440741468854
P08912_WT	Test set	56:229		0.3827939566887523	0.8350877192982457	0.6410636306924516	0.9606986899563319	0.32142857142857145	0.8527131782945736	0.6666666666666666	0.9034907597535934	0.3208827199001872	0.6791172800998128
P08173_WT	Fold 1	27:26		0.563453099738031	0.7735849056603774	0.7756410256410255	0.8846153846153846	0.6666666666666666	0.71875	0.8571428571428571	0.7931034482758621	0.18376068376068377	0.8162393162393162
P08173_WT	Fold 2	27:25		0.3468909530866052	0.6730769230769231	0.6688888888888889	0.56	0.7777777777777778	0.7	0.65625	0.6222222222222222	0.19555555555555554	0.8044444444444444
P08173_WT	Fold 3	27:25		0.620011066415946	0.8076923076923077	0.8044444444444444	0.72	0.8888888888888888	0.8571428571428571	0.7741935483870968	0.782608695652174	0.12444444444444447	0.8755555555555556
P08173_WT	Fold 4	27:25		0.3830172378018108	0.6923076923076923	0.6903703703703703	0.64	0.7407407407407407	0.6956521739130435	0.6896551724137931	0.6666666666666666	0.1851851851851852	0.8148148148148149
P08173_WT	Fold 5	27:25		0.427617987059879	0.7115384615384616	0.7133333333333334	0.76	0.6666666666666666	0.6785714285714286	0.75	0.7169811320754718	0.2592592592592593	0.7407407407407407
P08173_WT	Mean	-		0.46819806882045445	0.7316400580551525	0.7305356125356124	0.712923076923077	0.748148148148148	0.7300232919254658	0.7454483155887494	0.7163164329784794	0.18964102564102567	0.8103589743589744
P08173_WT	SD	-		0.09638347065275629	0.046411322023452876	0.046915699841771456	0.1003724818288422	0.07529852188630572	0.05918408714336917	0.0637598243172564	0.060014125318168084	0.03912950134010748	0.03912950134010751
P08173_WT	Test set	136:185		0.18298928978817808	0.6043613707165109	0.5905405405405406	0.6810810810810811	0.5	0.6494845360824743	0.5354330708661418	0.6649076517150396	0.36720985691573926	0.6327901430842606
P08172_WT	Fold 1	80:41		0.5236220834228864	0.7933884297520661	0.7486280487804877	0.6097560975609756	0.8875	0.7352941176470589	0.8160919540229885	0.6666666666666666	0.1954268292682927	0.8045731707317073
P08172_WT	Fold 2	80:41		0.5628930246839168	0.8016528925619835	0.7846036585365854	0.7317073170731707	0.8375	0.6976744186046512	0.8589743589743589	0.7142857142857143	0.15731707317073168	0.8426829268292683
P08172_WT	Fold 3	80:41		0.58973542412494	0.8181818181818182	0.7911585365853658	0.7073170731707317	0.875	0.7435897435897436	0.8536585365853658	0.725	0.10975609756097558	0.8902439024390244
P08172_WT	Fold 4	79:41		0.7389488738760583	0.8833333333333333	0.8410003087372646	0.7073170731707317	0.9746835443037974	0.9354838709677419	0.8651685393258427	0.8055555555555556	0.0605125038592158	0.9394874961407842
P08172_WT	Fold 5	80:40		0.4711695288325914	0.775	0.71875	0.55	0.8875	0.7096774193548387	0.797752808988764	0.619718309859155	0.159375	0.840625
P08172_WT	Mean	-		0.5772737869880785	0.8143112947658402	0.7768281105279407	0.6612195121951219	0.8924367088607594	0.7643439140328068	0.838329239579464	0.7062452492734183	0.13647750077184315	0.8635224992281568
P08172_WT	SD	-		0.08229778382900005	0.03396665541976947	0.03775403220384696	0.06355675132123118	0.04110021274375739	0.07957884809163146	0.024229802244352956	0.0567631073436511	0.042658177653582284	0.04265817765358229
P08172_WT	Test set	77:110		0.493438331571526	0.7433155080213903	0.7506493506493507	0.7090909090909091	0.7922077922077922	0.8297872340425532	0.6559139784946236	0.764705882352941	0.15430932703659977	0.8456906729634002
P25100_WT	Fold 1	58:16		0.5704503957927164	0.8648648648648649	0.7553879310344828	0.5625	0.9482758620689655	0.75	0.8870967741935484	0.6428571428571429	0.08728448275862069	0.9127155172413793
P25100_WT	Fold 2	58:16		0.3685143168509711	0.8108108108108109	0.6530172413793103	0.375	0.9310344827586207	0.6	0.84375	0.4615384615384615	0.23599137931034483	0.7640086206896551
P25100_WT	Fold 3	58:16		0.6333828048802878	0.8783783783783784	0.8092672413793103	0.6875	0.9310344827586207	0.7333333333333333	0.9152542372881356	0.7096774193548386	0.08512931034482762	0.9148706896551725
P25100_WT	Fold 4	57:16		0.5158571400761509	0.821917808219178	0.7735745614035088	0.6875	0.8596491228070176	0.5789473684210527	0.9074074074074074	0.6285714285714286	0.08223684210526318	0.9177631578947368
P25100_WT	Fold 5	57:16		0.51733344577696	0.8493150684931506	0.7236842105263157	0.5	0.9473684210526315	0.7272727272727273	0.8709677419354839	0.5925925925925926	0.1524122807017544	0.8475877192982457
P25100_WT	Mean	-		0.5211076206754173	0.8450573861532765	0.7429862371445856	0.5625	0.9234724742891712	0.6779106858054227	0.8848952321649151	0.6070474089828928	0.12861085904416214	0.8713891409558379
P25100_WT	SD	-		0.07996557046552505	0.023198493429308426	0.04821757553917427	0.10825317547305482	0.029927725316378335	0.0665444254718333	0.023523814626600276	0.07490030595353796	0.054537674603272523	0.054537674603272544
P25100_WT	Test set	169:59		0.07290689063893514	0.7236842105263158	0.5212616588105506	0.1016949152542373	0.9408284023668639	0.375	0.75	0.16	0.43897302176311304	0.561026978236887
P13945_WT	Fold 1	120:33		0.6708288631509259	0.8954248366013072	0.8015151515151515	0.6363636363636364	0.9666666666666667	0.84	0.90625	0.7241379310344828	0.11843434343434345	0.8815656565656566
P13945_WT	Fold 2	120:33		0.7138091043829576	0.9084967320261438	0.8208333333333333	0.6666666666666666	0.975	0.88	0.9140625	0.7586206896551725	0.06338383838383838	0.9366161616161617
P13945_WT	Fold 3	120:33		0.6148429215513652	0.8758169934640523	0.7890151515151516	0.6363636363636364	0.9416666666666667	0.75	0.904	0.6885245901639345	0.0553030303030303	0.9446969696969698
P13945_WT	Fold 4	120:32		0.43915503282683993	0.8355263157894737	0.678125	0.40625	0.95	0.6842105263157895	0.8571428571428571	0.5098039215686275	0.12630208333333331	0.8736979166666667
P13945_WT	Fold 5	120:32		0.7170065276242175	0.9078947368421053	0.85	0.75	0.95	0.8	0.9344262295081968	0.7741935483870969	0.07317708333333332	0.9268229166666667
P13945_WT	Mean	-		0.6311284899072612	0.8846319229446165	0.7878977272727272	0.6191287878787879	0.9566666666666667	0.7908421052631578	0.9031763173302109	0.6910561361618628	0.08732007575757575	0.9126799242424243
P13945_WT	SD	-		0.0939026703276349	0.024887206365085995	0.05350729071397697	0.10432208332456083	0.011180339887498955	0.06256712000725179	0.023181427261810283	0.08701530265068777	0.026726246343437014	0.026726246343437034
P13945_WT	Test set	115:24		0.24550424916748972	0.8201438848920863	0.5945652173913043	0.25	0.9391304347826087	0.46153846153846156	0.8571428571428571	0.32432432432432434	0.22318840579710145	0.7768115942028986
P08588_WT	Fold 1	77:49		0.458682472293863	0.746031746031746	0.7254174397031541	0.6326530612244898	0.8181818181818182	0.6888888888888889	0.7777777777777778	0.6595744680851063	0.2054068380598993	0.7945931619401008
P08588_WT	Fold 2	77:49		0.5926409020150168	0.8095238095238095	0.7847866419294991	0.673469387755102	0.8961038961038961	0.8048780487804879	0.8117647058823529	0.7333333333333334	0.12456930824277763	0.8754306917572222
P08588_WT	Fold 3	77:49		0.49907235621521334	0.7619047619047619	0.7495361781076066	0.6938775510204082	0.8051948051948052	0.6938775510204082	0.8051948051948052	0.6938775510204082	0.14736284124039226	0.8526371587596078
