target	index	A:N	error	MCC	ACC	BACC	Sensitivity	Specificity	PPV	NPV	F1	AUC A	AUC N
Q9IP65_WT		0:4	Number of points 4 < 30										
P30939_WT		8:2	Not enough data in minority class of the training set for all 5 folds										
P13945_WT	Fold 3	98:28		0.6237294778495414	0.873015873015873	0.8035714285714286	0.6785714285714286	0.9285714285714286	0.7307692307692307	0.91	0.7037037037037038	0.06924198250728864	0.9307580174927114
P13945_WT	Fold 4	98:28		0.571793134703707	0.8650793650793651	0.7091836734693877	0.42857142857142855	0.9897959183673469	0.9230769230769231	0.8584070796460177	0.5853658536585366	0.051749271137026244	0.9482507288629738
P13945_WT	Fold 5	97:29		0.5143514479571742	0.8412698412698413	0.7276928546036261	0.5172413793103449	0.9381443298969072	0.7142857142857143	0.8666666666666667	0.6000000000000001	0.12264486313544261	0.8773551368645574
P13945_WT	Mean	-		0.5827750202328275	0.8637170353705788	0.7572204850656934	0.5635467980295565	0.9508941721018305	0.7833572224876573	0.8829854452332327	0.6473586524457605	0.09580674481970942	0.9041932551802905
P13945_WT	SD	-		0.038709575289259564	0.012375736071552727	0.031698145348072256	0.07746752462554721	0.01995740053462143	0.07035465381296209	0.017092731850220377	0.043716529031230085	0.02698976658539251	0.026989766585392535
P13945_WT	Test set	226:45		0.5445673921896541	0.8819188191881919	0.7512291052114062	0.5555555555555556	0.9469026548672567	0.6756756756756757	0.9145299145299145	0.6097560975609757	0.12497541789577186	0.8750245821042282
P08588_WT	Fold 1	66:45		0.565029582733562	0.7927927927927928	0.7762626262626262	0.6888888888888889	0.8636363636363636	0.775	0.8028169014084507	0.7294117647058822	0.16127946127946127	0.8387205387205386
P08588_WT	Fold 2	66:45		0.4357105892836384	0.7297297297297297	0.7161616161616162	0.6444444444444445	0.7878787878787878	0.6744186046511628	0.7647058823529411	0.6590909090909091	0.1919191919191919	0.8080808080808081
P08588_WT	Fold 3	65:45		0.26226526415648105	0.6545454545454545	0.6222222222222222	0.4444444444444444	0.8	0.6060606060606061	0.6753246753246753	0.5128205128205128	0.2813675213675213	0.7186324786324786
P08588_WT	Fold 4	65:45		0.47741293912915383	0.7454545454545455	0.7401709401709402	0.7111111111111111	0.7692307692307693	0.6808510638297872	0.7936507936507936	0.6956521739130436	0.18324786324786324	0.8167521367521368
P08588_WT	Fold 5	65:45		0.47021674088502924	0.7454545454545455	0.7333333333333334	0.6666666666666666	0.8	0.6976744186046512	0.7761194029850746	0.6818181818181818	0.1569230769230769	0.8430769230769231
P08588_WT	Mean	-		0.4421270232375729	0.7335954135954136	0.7176301476301477	0.6311111111111111	0.804149184149184	0.6868009386292415	0.7625235311443871	0.6557587084697059	0.19494742294742293	0.8050525770525769
P08588_WT	SD	-		0.09085757190324188	0.0409256383747655	0.047076663956257155	0.08758300002285899	0.029032101418825722	0.04933732782526529	0.04160471327977242	0.06848088390886298	0.04121865642464572	0.04121865642464574
P08588_WT	Test set	144:93		0.426033891836368	0.729957805907173	0.7092293906810037	0.6129032258064516	0.8055555555555556	0.6705882352941176	0.7631578947368421	0.6404494382022471	0.18227299880525688	0.8177270011947431
Q13639_WT	Fold 1	55:11		0.7700535410868201	0.9393939393939394	0.8545454545454545	0.7272727272727273	0.9818181818181818	0.8888888888888888	0.9473684210526315	0.7999999999999999	0.03471074380165289	0.9652892561983472
Q13639_WT	Fold 2	55:11		0.5061366753560108	0.8787878787878788	0.7090909090909091	0.45454545454545453	0.9636363636363636	0.7142857142857143	0.8983050847457628	0.5555555555555556	0.04462809917355373	0.9553719008264463
