		number	R2	MSE	RMSE	MSLE	RMSLE	MAE	Explained Variance	Max Error	Mean Poisson Distrib	Mean Gamma Distrib	Pearson r	Spearman r	Kendall tau
P49841_WT	Fold 4	6.0	-0.19788880777305784	1.1979198197833034	1.0944952351578803	0.021206240892979514	0.14562362752307578	0.9948654187520346	-0.12138311812246494	1.6354044303894044	0.1853098071390035	0.028831695803542095	-0.10398801225098514	0.028571428571428574	-0.06666666666666665
P49841_WT	Fold 5	6.0	-0.5136844754466459	2.3431930285193787	1.5307491723072657	0.03820754098829796	0.19546749343125563	1.1399973799387613	-0.21685667495472827	3.1643010330200187	0.36044111508502663	0.05603612114384656	-0.30846858116139747	-0.08571428571428573	-0.06666666666666665
P49841_WT	Mean	6.2	-0.5011233610536578	1.4084882303803794	1.171310314104556	0.025711545174661045	0.15886174135020462	0.9422274075281052	-0.12359100491233314	2.1815308670043945	0.22059225309069844	0.03495098085434421	0.10690180781658558	0.1663063903699688	0.07617205304679649
P49841_WT	SD	0.3651483716701107	0.46890390179182845	0.44463894883076344	0.1744524253501644	0.006627184846548484	0.019884925400952397	0.14898856264754579	0.20663100919571412	0.504002076092881	0.06772767872962054	0.010557971657956999	0.2902557290093199	0.28619555163125654	0.24021767452017184
P49841_WT	Test set	8.0	-2.8809605486205156	1.5433687480937601	1.2423239304198241	0.02510291975075197	0.15843900956125662	1.0223387775421142	-1.2522999888246535	1.9952313995361326	0.23454860817584522	0.03586582204000521	-0.3248901998842838	-0.28571428571428575	-0.14285714285714285
Q12852_WT	Fold 1	6.0	-0.13805234343586825	1.4672335095862163	1.2112941465995022	0.025853760651146317	0.16079104655156118	0.7789720134735106	-0.019469250605205213	2.7622175407409664	0.23727425178535574	0.03875752635820547	0.21499746103426498	0.14285714285714288	0.06666666666666665
Q12852_WT	Fold 2	5.0	0.024059499455082567	1.4130152975634789	1.1887031999466808	0.030442137046958466	0.1744767521676125	1.045260256958008	0.06309961010401954	2.089540481567383	0.23326139499966486	0.039058548100068965	0.39504017259955826	0.49999999999999994	0.39999999999999997
Q12852_WT	Fold 3	5.0	-1.0825685889515766	0.7797716584129868	0.8830468042029181	0.0168212131019531	0.12969661947002745	0.682272280883789	-0.6857324059386161	1.631495475769043	0.12946642854021953	0.021575542664171367	-0.3506453819087765	-0.7	-0.6
Q12852_WT	Fold 4	5.0	-2.3758363422003894	0.8703303088546447	0.9329149526375085	0.018707096018913925	0.1367738864656332	0.8266733390808106	-2.3246784168331973	1.2227263450622559	0.14769551185648702	0.025233671541962367	-0.38404465004884947	-0.6	-0.39999999999999997
Q12852_WT	Fold 5	5.0	-0.27900093939297754	2.396231486609802	1.5479765781851487	0.03593530589974685	0.1895660990255031	1.1300878837585446	-0.11480386173005441	3.1705361900329585	0.35337953003025824	0.05270433945507032	0.1312255531021683	0.49999999999999994	0.39999999999999997
Q12852_WT	Mean	5.2	-0.7702797429051459	1.3853164522054258	1.1527871363143516	0.025551902543743732	0.15826088073606748	0.8926531548309325	-0.6163168650006107	2.1753032066345215	0.22021542344239706	0.035465925623895694	0.0013146309556731183	-0.03142857142857144	-0.026666666666666672
Q12852_WT	SD	0.3651483716701107	0.8111080380441492	0.5262005419738336	0.21679150996902924	0.006517884262527736	0.020522267832526756	0.15340633854248134	0.8157477983427334	0.6513373290375521	0.07267323892354792	0.010153375837870278	0.28575473977345967	0.47705160233722826	0.37436365762203483
