target	index	number	error	R2	MSE	RMSE	MSLE	RMSLE	MAE	Explained Variance	Max Error	Mean Poisson Distrib	Mean Gamma Distrib	Pearson r	Spearman r	Kendall tau
Q9WTR4_WT	Fold 5	80.0		0.5502989291428912	0.46408509800852915	0.6812379158623874	0.007569110168230531	0.08700063314844629	0.5217602211475373	0.5506085575662987	1.7727744865417474	0.06750717445944769	0.00993908012240921	0.7427227464487214	0.7170645093753133	0.5381937764423881
Q9WTR4_WT	Mean	80.6		0.48066648829559444	0.5258356877367902	0.7153181807678461	0.009067509638192915	0.09368118480892054	0.5483698511658186	0.5045772186981667	2.167852458953857	0.07774889277087342	0.011695327578107874	0.7221762505560404	0.6996360311586339	0.5244892727701345
Q9WTR4_WT	SD	0.447213595499958		0.12407475702044644	0.16922266396057362	0.10861088036260937	0.003227144005550687	0.015581646548364442	0.08092497287937302	0.10969768490163177	0.4864915508455033	0.02517906797287685	0.003862163171253147	0.06501611608112169	0.06409384390489904	0.05885765983340525
Q9WTR4_WT	Test set	35.0		0.37764112771290836	0.5420322065539355	0.736228365762917	0.008980042883719064	0.09476308819218095	0.632578901563372	0.3811176584921757	1.557670440673828	0.07944248301531442	0.011744398277946645	0.656961981662926	0.558520709955972	0.3807931285726052
P23977_WT	Fold 1	199.0		0.6814217815914319	0.41878316639571717	0.6471345813628856	0.007015742377164262	0.08376002851697378	0.4815390508450455	0.6840951543258327	2.148440895080566	0.06113753164919872	0.009143894497419747	0.8301020325359139	0.8330216707453822	0.6459281245544664
P23977_WT	Fold 2	199.0		0.7320365525140782	0.37928640619163095	0.6158623273034575	0.006623035762780739	0.08138203587267118	0.4539992460126253	0.732088753249837	2.410743637084961	0.05696669258590721	0.008763309503629593	0.85798579778705	0.8542640528389596	0.6748756392590676
P23977_WT	Fold 3	199.0		0.6918099726217434	0.4023004546754354	0.6342715937793805	0.007053157624144808	0.08398307939189184	0.46939612207460646	0.7086749636873153	2.26020845413208	0.06012591045277809	0.009162132433888604	0.8427391288472283	0.8469497030335208	0.6638735358961338
P23977_WT	Fold 4	198.0		0.7609987668157995	0.3233838386326905	0.5686684786698578	0.00571470400871336	0.07559566130879047	0.4509044744510843	0.7623889227420233	1.8270965576171871	0.0493226730144539	0.007681587590039511	0.873149261619971	0.8700542131819848	0.6828943630198522
P23977_WT	Fold 5	198.0		0.7209855263073974	0.3606452899545339	0.600537500872788	0.006314743583186643	0.07946536090138044	0.44582937718401056	0.7256301799351839	2.3342510414123536	0.05394157757326572	0.00828071775889364	0.8543262718174834	0.8523727716595547	0.6752341445767539
P23977_WT	Mean	198.6		0.7174505199700901	0.37687983117000157	0.6132948963976739	0.006544276671197963	0.08083723319834155	0.4603336541134744	0.7225755947880385	2.1961481170654293	0.056298877055120725	0.008606328356774221	0.8516604985215294	0.8513324822918804	0.6685611614612548
