target	index	number	error	R2	MSE	RMSE	MSLE	RMSLE	MAE	Explained Variance	Max Error	Mean Poisson Distrib	Mean Gamma Distrib	Pearson r	Spearman r	Kendall tau
Q63380_WT	Mean	33.4		0.27451117450798007	0.9057867119295716	0.9379534559100751	0.016728046715152656	0.1268903983768044	0.6767412089036748	0.3160817655444444	2.694521312713623	0.14076300476361212	0.022251023111355586	0.5727499762708584	0.5689776370747193	0.42403369363605076
Q63380_WT	SD	0.4472135954999579		0.1107872276631316	0.28386029168054927	0.14728098563606984	0.0063434257456154155	0.022855953180162328	0.11262501901934292	0.12118726464735544	0.48482937457737096	0.0460920886640297	0.007677911898403496	0.09931849682119076	0.09566571906338751	0.07166231130180373
Q63380_WT	Test set	29.0		-0.44298268798365137	1.2497793372096186	1.1179353009944801	0.021792022630526476	0.14762121334864606	0.8981025453764817	-0.16387061780522028	2.170611457824707	0.19537290243026106	0.030777679574655544	-0.0509931808167227	0.01650449575272963	0.0073982793603079204
Q9Y345_WT	Fold 1	22.0		0.5502515908510468	0.2364218072014121	0.48623225643864076	0.0053090658962887316	0.07286333712017816	0.38216314367814497	0.5667042972975487	1.2758741493225099	0.042029000286371326	0.007556599131976856	0.8492209441158411	0.7933370976849238	0.6363636363636364
Q9Y345_WT	Fold 2	22.0		0.47849525427287753	0.2000001828524887	0.4472137999352085	0.004921242601178066	0.07015156877203864	0.3634929859854959	0.508533650351003	1.0362941513061523	0.037734451495956715	0.007186462321118434	0.7132350187839749	0.5320531135632658	0.39045645008471963
Q9Y345_WT	Fold 3	22.0		0.27117794005921214	0.36874443276827107	0.6072433060711917	0.008147858499401887	0.09026548897226386	0.44530493961681034	0.27692523255988566	1.4047614669799806	0.06448036315393607	0.011415297945146912	0.5648759422643159	0.6088675758186842	0.45987093009978086
Q9Y345_WT	Fold 4	21.0		0.5429905082745583	0.33999875251179934	0.5830941197712418	0.006503949749686948	0.08064706907065469	0.4039430534726097	0.5469514699511439	2.003166065216064	0.05557860515206719	0.009252782082924238	0.7397131840182223	0.8268918916139323	0.6539398099257271
Q9Y345_WT	Fold 5	21.0		-0.2507871700590194	0.4527990460617299	0.6729034448282531	0.011223497159378112	0.1059410079212866	0.5210383838471913	-0.009286095501018554	1.6119374084472655	0.08195246514671221	0.014934345563383128	0.47982666377961725	0.4606888561868155	0.3253625759991549
Q9Y345_WT	Mean	21.6		0.3184256246797351	0.31959284427914025	0.5593373854089072	0.007221122781186749	0.0839736943712844	0.42318850132005037	0.37796571093171255	1.4664066482543945	0.0563549770470087	0.010069097408909914	0.6693743505923943	0.6443677069735243	0.4931986804946037
Q9Y345_WT	SD	0.4472135954999579		0.27569019485937724	0.0834625644733844	0.07491402607360337	0.0020951367212830338	0.011886316882059166	0.05112200787831417	0.20058230538192545	0.29843742934770034	0.01457059614236876	0.002606769994992752	0.11976668277883923	0.13109774011452924	0.1198398779677559
Q9Y345_WT	Test set	38.0		-2.212196237620498	1.9221643654293963	1.3864214241814774	0.03875993778071005	0.19687543722036543	1.175257179661801	-0.1438057199779741	2.5592916679382327	0.3340977905174192	0.05846038433421499	-0.0633695553999111	-0.06730137926050563	-0.06410262914126272
P31652_WT	Fold 1	327.0		0.49971360783766805	0.7328194957111205	0.8560487694700113	0.011327923774862057	0.10643271947508462	0.6282640175192363	0.500225677614637	4.589283821105957	0.10373908345837182	0.014978924159322655	0.7134573011119759	0.7273125227147295	0.544203635042852
P31652_WT	Fold 2	327.0		0.5992614449708518	0.5885642390255105	0.7671794047193332	0.009453835171281396	0.09723083446768004	0.5717598578310159	0.5996993207112489	2.4671376228332518	0.08397975029179051	0.012220957099126543	0.7747818325901351	0.7708654921863124	0.580459378336673
P31652_WT	Fold 3	326.0		0.5552618700188027	0.6511684223878005	0.806950074284525	0.010323578160751065	0.10160501051006818	0.6202457799267915	0.5557599148172696	2.634489212036133	0.09267646909232859	0.013420243116025693	0.7459931521513439	0.7563773160248928	0.5593132612023237
P31652_WT	Fold 4	326.0		0.5932164167095475	0.6158244547148837	0.7847448341434836	0.009205496748649102	0.09594527997066402	0.5789930876983455	0.5937145848480591	2.970253753662109	0.08431231322021651	0.01178327676689702	0.7709900281677846	0.7833801751513115	0.5904678948712011
P31652_WT	Fold 5	326.0		0.5688672759134872	0.6521183113740434	0.8075384271810496	0.010387985424622092	0.10192146694696899	0.6065264124372985	0.5691069887558209	2.965738067626953	0.09271253482473278	0.013471427793171656	0.7544091774154345	0.7667058151907993	0.5731323480530931
P31652_WT	Mean	326.4		0.5632641230900715	0.6480989846426718	0.8044923019596805	0.010139763856033141	0.10062706227409317	0.6011578310825375	0.5637012973494071	3.1253804954528808	0.09148403017748805	0.013174965786908712	0.7519262982873348	0.760928264253609	0.5695153035012286
P31652_WT	SD	0.4472135954999579		0.03247318493845076	0.04432676514421747	0.027250699230873802	0.0006892603314360774	0.0034105466471566655	0.020344669574481035	0.0324502092167182	0.6912333046962744	0.006593749639738743	0.0010205592750647011	0.020029278156134263	0.017257588213912885	0.014813446018322062
P31652_WT	Test set	422.0		0.10952868777988001	1.0115693279315459	1.0057680288871513	0.01730855751305427	0.13156199114126493	0.8115182027138804	0.1672548159925723	3.300467624664307	0.14877805042231831	0.022240784135004577	0.4948687555523681	0.4934297943314717	0.33428373568160114
P28572_WT	Fold 1	9.0		0.5326320119264478	0.5968284476319631	0.7725467284455764	0.013133065204826721	0.11459958640774721	0.667387420654297	0.5513930931226585	1.1916116333007816	0.1019835077123275	0.017721693253379023	0.7524956998258661	0.5499999999999999	0.4444444444444444
P28572_WT	Fold 2	9.0		0.5116927765728341	0.6716772682981401	0.8195591914548577	0.010149713651328739	0.10074578726343221	0.5796418346828885	0.5547499416062572	2.1517398834228523	0.0968859965914193	0.014171796865151897	0.7542282539978352	0.7364081197050363	0.5916079783099616
P28572_WT	Fold 3	9.0		0.6421148665051127	0.41093130097832775	0.6410392351317724	0.009160821276109317	0.09571217935095469	0.5667809189690485	0.642161567494197	1.2382407569885254	0.07057795404394322	0.01229309751491482	0.8144547705539286	0.7531446678801508	0.5916079783099616
P28572_WT	Fold 4	9.0		0.008348813844393121	0.8369481898829337	0.9148487251359831	0.019358926846263502	0.13913636061886736	0.6693514450920952	0.010467505804812482	1.804740753173828	0.14724750296223632	0.02620859179945893	0.4588858953744623	0.08333333333333334	0.05555555555555555
P28572_WT	Fold 5	9.0		0.5484649141494985	0.6398655314864676	0.7999159527640811	0.014034177217541946	0.1184659327298019	0.6456175435384114	0.6089790086089264	1.5875096321105957	0.1108133269481514	0.019381258002154747	0.7883582618899487	0.48333333333333334	0.3333333333333333
P28572_WT	Mean	9.0		0.44865067659965724	0.6312501476555664	0.7895819665864542	0.013167340839214045	0.11373196927416067	0.625755832587348	0.4735502233273703	1.5947685317993165	0.10550165765161554	0.017955287487011883	0.7136845763284082	0.5212438908503707	0.4033098579906513
P28572_WT	SD	0.0		0.2050545359132072	0.12499700605206396	0.08067664726669704	0.003272272153086736	0.013915818464233972	0.040068265405351605	0.21364661287555975	0.3276191007154188	0.022646565227388157	0.0044079508999027225	0.1181829459507314	0.2213983575425373	0.18185808904176345
