target	index	number	error	R2	MSE	RMSE	MSLE	RMSLE	MAE	Explained Variance	Max Error	Mean Poisson Distrib	Mean Gamma Distrib	Pearson r	Spearman r	Kendall tau
Q9Y345_WT	Mean	21.6		0.5075162200081968	0.2337712186568802	0.48053657923659454	0.005454215746876439	0.07340136479680778	0.3798415810506582	0.5424414521143717	1.096519888305664	0.04172601433702107	0.007560064475862362	0.7462863653330369	0.6664911063151523	0.5089504076777505
Q9Y345_WT	SD	0.4472135954999579		0.13615172241672088	0.04523200454057657	0.04878366079327742	0.0010739014999371036	0.007441739987081134	0.02854698820551201	0.11380214584672947	0.17600790132175564	0.00775348725876702	0.0013964826512825339	0.06698599580383334	0.0982074994621725	0.09186659940834621
Q9Y345_WT	Test set	38.0		-1.5900061637031597	1.5498485104386328	1.2449291186403477	0.02947088828022075	0.17167087196207967	1.078983236915187	-1.5267123074554871	2.329879951477051	0.2490767938571387	0.04035817900041541	-0.4126741804758963	-0.4714575073130198	-0.36428608600639983
P31652_WT	Fold 1	327.0		0.6031356802920989	0.5813268463630591	0.7624479302634765	0.00902174598570137	0.09498287206492216	0.5660619488987355	0.6051545753236156	3.4577206344604487	0.0819588147538354	0.011830454998827136	0.7792777481652995	0.7964694145192682	0.6063833169437706
P31652_WT	Fold 2	327.0		0.6858683413474527	0.46136479335064223	0.6792383921353696	0.007454496084002377	0.08633942369510221	0.5171074685146321	0.685936615898846	2.212192878723145	0.06626456821690892	0.009767935763553353	0.8296998417848245	0.832471603533824	0.6425287480937983
P31652_WT	Fold 3	326.0		0.6624257140700249	0.49426325378713	0.703038586271856	0.007757370162716273	0.0880759340723462	0.5210484818183572	0.6625998621878113	2.6385781288146974	0.0697246943497326	0.010040163147311487	0.8140472531084839	0.8252410370946894	0.6313315740448592
P31652_WT	Fold 4	326.0		0.6120234547979952	0.5873527207232228	0.7663894054090405	0.008622970416673807	0.09285995055282878	0.551210069164908	0.6128738764940038	3.219027046203614	0.079809963266697	0.011077978047245652	0.7849044820497979	0.792930721722909	0.606865058154568
P31652_WT	Fold 5	326.0		0.5763063713705081	0.6408661607100883	0.8005411674049551	0.010089522705863134	0.10044661619916886	0.5684659473676623	0.5764417719104471	4.137545471191406	0.08971673794554415	0.012828387843349979	0.7612348898267849	0.7750884780447371	0.5978876441706557
P31652_WT	Mean	326.4		0.627951912375616	0.5530347549868284	0.7423310962969396	0.008589221070991393	0.09254095931687363	0.544778783152859	0.6286013403629448	3.133012831878662	0.0774949557065436	0.01110898396005752	0.7938328429870382	0.8044402509830857	0.6169992682815304
P31652_WT	SD	0.4472135954999579		0.036696000666399976	0.0599305045555478	0.04061299522538221	0.0008581665092386448	0.00459999272681757	0.019934246861905345	0.03642562696500635	0.607494099736963	0.007758391407756498	0.0010342968412888022	0.02254350218226944	0.019476308261717302	0.015480224706794063
P31652_WT	Test set	422.0		0.13680406168382642	0.9805846894929339	0.9902447624163098	0.017113926539450687	0.13082020692328342	0.7860754462237606	0.17627338142409488	3.144520454406738	0.14580366175153162	0.0220237422851663	0.4779421740427119	0.4687157499438208	0.319612976121907
P28572_WT	Fold 1	9.0		0.6145619221759177	0.49220403518478073	0.7015725444918585	0.010677706844625087	0.10333299010783094	0.5509795091417101	0.6152394587378152	1.3997575340271	0.08487517216459256	0.014787722920067074	0.7878704135398854	0.6666666666666667	0.5
P28572_WT	Fold 2	9.0		0.3213845173751071	0.9334504421114692	0.9661523907290553	0.015529031653848703	0.12461553536316691	0.7479937290615506	0.3525986215701351	2.293164539337159	0.14170048122375098	0.021898783924375387	0.595612950659383	0.5355695416036628	0.36623351038235713
P28572_WT	Fold 3	9.0		0.7243946299104838	0.31645593149265694	0.5625441595934109	0.007261843066482383	0.08521644833295028	0.4741614680820041	0.7294918787802588	1.186160125732422	0.05527397677209716	0.009792766726719174	0.8749310459819114	0.8954053273686235	0.7606388292556648
P28572_WT	Fold 4	9.0		0.41404032005348645	0.4945467724158632	0.7032401953926292	0.011470671526573616	0.10710122093876248	0.6049089143541124	0.4429682124559209	1.121706729888916	0.08851930066665917	0.01601956101502792	0.6784100135904249	0.35	0.2777777777777778
P28572_WT	Fold 5	9.0		0.4495083636493845	0.7800957987768973	0.883230320345094	0.015454490260408547	0.1243160901106874	0.6529083964029946	0.5329135964951254	2.112547931671142	0.12308146093378348	0.019647365663758503	0.7567521898876528	0.7666666666666667	0.611111111111111
P28572_WT	Mean	9.0		0.5047779506328759	0.6033505959963334	0.7633479221104096	0.012078748670387668	0.10891645697067961	0.6061904034084743	0.5346423536078511	1.6226673721313478	0.09869007835217666	0.016429240049989614	0.7387153227318515	0.6428616404611239	0.5031522457053821
