target	index	number	error	R2	MSE	RMSE	MSLE	RMSLE	MAE	Explained Variance	Max Error	Mean Poisson Distrib	Mean Gamma Distrib	Pearson r	Spearman r	Kendall tau
Q9WTR4_WT	Fold 2	61.0		0.580709834793445	0.43402188177847145	0.6588033711043618	0.007718719332321996	0.08785624242091165	0.536755322753406	0.5837379012827144	1.523152294158936	0.06561479019837446	0.0100542787405884	0.7645434966320623	0.7447542771177955	0.5506301895089808
Q9WTR4_WT	Fold 3	61.0		0.5487746603931163	0.4352960143529051	0.6597696676514503	0.007305049066773305	0.08546957977417055	0.5664676535559484	0.5541914894824169	1.3175182723999024	0.06448537190119462	0.009726519028189834	0.7495587122562376	0.7158231539969384	0.5185998727549737
Q9WTR4_WT	Fold 4	61.0		0.3323249539795261	0.5361469233806674	0.7322205428562267	0.009618586579349858	0.09807439308682903	0.5614159932996406	0.41374327810096034	1.8823377609252931	0.08080441310938928	0.01231660706227375	0.6673625936722406	0.6617304881528857	0.4987690515071127
Q9WTR4_WT	Fold 5	61.0		0.1000092763197915	0.6699906103649428	0.8185295415346613	0.010817709442563312	0.10400821814916027	0.6038365866238953	0.13022977739659314	2.3660479736328126	0.0953998536441421	0.013744530716654048	0.5674070054245657	0.5111881340850001	0.37082006780705423
Q9WTR4_WT	Mean	61.2		0.41556688925295193	0.5114262629203512	0.7126703715888617	0.00864921860252666	0.09272938182368179	0.5626446828068532	0.44153034274271175	1.7685548629760746	0.0751193741578002	0.011181088269406215	0.6959137218548272	0.662865138271875	0.486411829596303
Q9WTR4_WT	SD	0.3651483716701107		0.16412002588399777	0.0800271842394842	0.054215652565664026	0.0012288032406527814	0.006485904532426169	0.021226763894431826	0.15148625565587936	0.32501823642763344	0.01065355789889695	0.0014430928636362632	0.06598842914260757	0.07398232533425896	0.05585822477697509
Q9WTR4_WT	Test set	132.0		0.441824112048833	0.6569641100629238	0.8105332257612415	0.011990826950696013	0.10950263444637308	0.6047841810746627	0.45840402751253484	2.4224049186706544	0.10049186978818365	0.015665365464180674	0.689750715101288	0.6783731926896316	0.5062841931308221
P23977_WT	Fold 1	175.0		0.6114584525409335	0.5425088852325142	0.7365520247969686	0.00877347838909593	0.09366684786569862	0.4895917871965681	0.6115678253848535	4.5096405982971195	0.07980525042077793	0.012023614611509404	0.7829729091153383	0.8298437848541103	0.6455705650826234
P23977_WT	Fold 2	174.0		0.6243640630665483	0.4753893114280698	0.6894848159517871	0.008516369555563457	0.09228417825154785	0.5183893705346118	0.6320627696745363	2.456862106323242	0.07202227837904618	0.011178421807754678	0.8045642891418809	0.7984853670874931	0.6125827123440816
P23977_WT	Fold 3	174.0		0.6564427287455266	0.37917336790326156	0.6157705480966604	0.006297056433461716	0.07935399443923233	0.47401216857734774	0.6569569430766926	2.176973934173584	0.055451856064978815	0.008277490155374465	0.8141506353008834	0.8118109088516369	0.6237038696980113
P23977_WT	Fold 4	174.0		0.5956438491711874	0.44915892251153583	0.67019319790008	0.008040291455017234	0.08966767229619176	0.49939881201996206	0.6128333743723822	3.264393768310547	0.0674049850579602	0.01031604556180677	0.7866566450839405	0.7915390753289085	0.610357774455838
P23977_WT	Fold 5	174.0		0.7361659238164538	0.3931519638015262	0.6270183121739956	0.00674880097116958	0.0821510862446114	0.47263071448227456	0.738610182957275	1.9879914245605477	0.05860634312900972	0.008956663321559406	0.8643437918404978	0.8711242070955788	0.6869433485951613
P23977_WT	Mean	174.2		0.6448150034681299	0.44787649017538156	0.6678037797838984	0.007675199360861584	0.08742475581945638	0.4908045705621529	0.6504062190931479	2.879172366333008	0.06665814261035456	0.010150447091600946	0.8105376540965082	0.8205606686435456	0.6358316540351432
